channel,desc,marker
Cd111Di,111Cd_CD8a,CD8A
Cd112Di,112Cd_HLA_DR,HLA-DR
Cd113Di,113Cd_CD45RA,CD45RA
Cd114Di,114Cd_CD57,CD57
Cd116Di,116Cd_CD4,CD4
Pr141Di,141Pr_CD196_CCR6,CCR6
Nd143Di,143Nd_CD123,CD123
Nd144Di,144Nd_CD69,CD69
Nd146Di,146Nd_CD11c,CD11C
Sm149Di,149Sm_CCR4,CCR4
Nd150Di,150Nd_CD25,CD25
Sm152Di,152Sm_TCR_rd,TCR-RD
Eu153Di,153Eu_EQ4_CCR2_CD192,CD192
Sm154Di,154Sm_CD3,CD3
Gd155Di,155Gd_CD279_PD_1,CD279
Gd156Di,156Gd_CXCR4_CD184,CXCR4
Tb159Di,159Tb_FOXP3,FOXP3
Dy161Di,161Dy_CD19,CD19
Dy162Di,162Dy_CD27,CD27
Dy163Di,163Dy_CD14,CD14
Ho165Di,165Ho_EQ5_CD45RO,CD45RO
Er167Di,167Er_CCR7_CD197,CCR7
Er170Di,170Er_CD1c,CD1C
Yb171Di,171Yb_CXCR5_CD185,CXCR5
Yb172Di,172Yb_CX3CR1,CX3CR1
Yb173Di,173Yb_IL_1beta,IL1-BETA
Yb176Di,176Yb_EQ7_CD56_NCAM,CD56
Bi209Di,209Bi_CD16,CD16
